year,region,country,port,port_lat,port_long,UK_country,country_lat,country_long,import_tonnage_thousand,haversine,export_tonnage_thousand
2000,Africa,Senegal,Liverpool,53.46171999999999,-3.02275,England,-14.50980279,14.35413999,7.732339399,7476.106728736144,5.606031316
2000,Africa,Senegal,River Trent,53.118010999999996,-2.14332,England,-14.50980279,14.35413999,3.79213923,7476.106728736144,0.0
2000,Africa,Senegal,Rivers Hull & Humber,53.73669205,-0.325382032,England,-14.50980279,14.35413999,6.956508762,7476.106728736144,0.0
2000,Africa,South Africa,Belfast,54.60548299999999,-5.889891,Northern Ireland,25.04801388,-28.94703326,228.11700000000002,3823.6392275566877,0.0
2000,Africa,South Africa,Bristol,51.44147,-2.55997,England,25.04801388,-28.94703326,2102.3111416750003,3823.6392275566877,0.0
2000,Africa,South Africa,Clyde,51.483768,0.42074,Scotland,25.04801388,-28.94703326,1268.9408289300002,3823.6392275566877,0.0
2000,Africa,South Africa,Felixstowe,51.94831,1.31487,England,25.04801388,-28.94703326,325.875869,3823.6392275566877,345.3555189
2000,Africa,South Africa,Grimsby & Immingham,53.61148000000001,-0.22403,England,25.04801388,-28.94703326,1492.6688098050001,3823.6392275566877,14.760909581
2000,Africa,South Africa,London,51.5166,0.1166,England,25.04801388,-28.94703326,355.33042509999996,3823.6392275566877,366.3899135799999
2000,Africa,South Africa,Londonderry,55.0066,-7.31921,Northern Ireland,25.04801388,-28.94703326,103.55822009999999,3823.6392275566877,0.0
2000,Africa,South Africa,Medway,51.380951,0.52213,England,25.04801388,-28.94703326,225.387598797,3823.6392275566877,2.210941081
2000,Africa,South Africa,Newport,51.558370000000004,-2.98625,Wales,25.04801388,-28.94703326,11.397844164999999,3823.6392275566877,0.0
2000,Africa,South Africa,Port Talbot,51.594681,-3.784097,Wales,25.04801388,-28.94703326,1866.5148629999999,3823.6392275566877,0.0
2000,Africa,South Africa,Portsmouth,50.80806,-1.09311,England,25.04801388,-28.94703326,2.29938858,3823.6392275566877,0.0
2000,Africa,South Africa,Southampton,50.90834,-1.45426,England,25.04801388,-28.94703326,7.834560862999999,3823.6392275566877,27.913576841
2000,Africa,South Africa,Tees & Hartlepool,54.691745999999995,-1.212926,England,25.04801388,-28.94703326,543.589995301,3823.6392275566877,5.762244953
2000,Africa,Sudan,Bristol,51.44147,-2.55997,England,29.86260401,15.990585000000001,5.82992139,2750.843726996301,0.0
2000,Africa,Sudan,Felixstowe,51.94831,1.31487,England,29.86260401,15.990585000000001,33.362397049,2750.843726996301,28.233718784
2000,Africa,Sudan,Liverpool,53.46171999999999,-3.02275,England,29.86260401,15.990585000000001,5.222493463999999,2750.843726996301,0.0
2000,Africa,Sudan,Medway,51.380951,0.52213,England,29.86260401,15.990585000000001,0.720597811,2750.843726996301,4.8784754800000005
2000,Africa,Tanzania,Felixstowe,51.94831,1.31487,England,34.75298985,-6.257732429,25.675806950000002,1927.6396568147252,54.52521263
2000,Africa,Tanzania,Medway,51.380951,0.52213,England,34.75298985,-6.257732429,0.6858493259999999,1927.6396568147252,0.0
2000,Africa,Togo,Felixstowe,51.94831,1.31487,England,0.9964039440000001,8.439541955,0.673044781,5675.604100883466,12.682598683
2000,America,Argentina,Belfast,54.60548299999999,-5.889891,Northern Ireland,-65.17536077,-35.44682149,50.038000000000004,13327.05207665064,0.0
2000,America,Argentina,Bristol,51.44147,-2.55997,England,-65.17536077,-35.44682149,39.05868835,13327.05207665064,21.81017297
2000,America,Argentina,Clyde,51.483768,0.42074,Scotland,-65.17536077,-35.44682149,14.22881141,13327.05207665064,0.0
2000,America,Argentina,Dover,51.126369,1.316198,England,-65.17536077,-35.44682149,4.566296502,13327.05207665064,0.0
2000,America,Argentina,Felixstowe,51.94831,1.31487,England,-65.17536077,-35.44682149,39.88957838,13327.05207665064,48.19032208
2000,America,Argentina,Liverpool,53.46171999999999,-3.02275,England,-65.17536077,-35.44682149,509.76948417999995,13327.05207665064,1.575172264
2000,America,Argentina,London,51.5166,0.1166,England,-65.17536077,-35.44682149,49.799540640000004,13327.05207665064,59.4139667
2000,America,Argentina,Medway,51.380951,0.52213,England,-65.17536077,-35.44682149,24.310290325,13327.05207665064,0.0
2000,America,Argentina,Newport,51.558370000000004,-2.98625,Wales,-65.17536077,-35.44682149,21.29027115,13327.05207665064,0.0
2000,America,Argentina,Southampton,50.90834,-1.45426,England,-65.17536077,-35.44682149,15.769403455,13327.05207665064,34.320770651000004
2000,America,Aruba,Felixstowe,51.94831,1.31487,England,12.517572,12.517572,5.750913594,4484.069315626612,39.146697431999996
2000,America,Aruba,Medway,51.380951,0.52213,England,12.517572,12.517572,32.49170182,4484.069315626612,0.0
2000,America,Aruba,Southampton,50.90834,-1.45426,England,12.517572,12.517572,50.6427519,4484.069315626612,0.0
2000,America,Bahamas,Felixstowe,51.94831,1.31487,England,-77.92997079999999,25.51549173,1.619921493,14504.007114304068,5.795922600000001
2000,America,Bahamas,Grimsby & Immingham,53.61148000000001,-0.22403,England,-77.92997079999999,25.51549173,0.794819409,14504.007114304068,0.0
2000,America,Bahamas,London,51.5166,0.1166,England,-77.92997079999999,25.51549173,5.09723974,14504.007114304068,0.0
2000,America,Barbados,Felixstowe,51.94831,1.31487,England,13.1901325,13.1901325,3.8142073930000002,4426.879727335114,10.289799163
2000,America,Barbados,London,51.5166,0.1166,England,13.1901325,13.1901325,23.60152645,4426.879727335114,0.0
2000,America,Barbados,Southampton,50.90834,-1.45426,England,13.1901325,13.1901325,1.764839976,4426.879727335114,11.260921526
2000,America,Belize,Felixstowe,51.94831,1.31487,England,-88.70342125,17.19708991,0.7124670479999999,15602.260144900783,0.569840315
2000,America,Belize,London,51.5166,0.1166,England,-88.70342125,17.19708991,18.26423637,15602.260144900783,0.7727833540000001
2000,America,Belize,Southampton,50.90834,-1.45426,England,-88.70342125,17.19708991,12.92383656,15602.260144900783,0.0
2000,America,Brazil,Belfast,54.60548299999999,-5.889891,Northern Ireland,-53.05434004,-10.80677364,150.04399999999998,11673.43459377283,0.0
2000,America,Brazil,Bristol,51.44147,-2.55997,England,-53.05434004,-10.80677364,228.62843015,11673.43459377283,0.0
2000,America,Brazil,Cardiff,51.45939,-3.15709,Wales,-53.05434004,-10.80677364,0.533050875,11673.43459377283,0.0
2000,America,Brazil,Clyde,51.483768,0.42074,Scotland,-53.05434004,-10.80677364,15.680824901000001,11673.43459377283,0.0
2000,America,Brazil,Dover,51.126369,1.316198,England,-53.05434004,-10.80677364,39.54467191,11673.43459377283,0.0
2000,America,Brazil,Felixstowe,51.94831,1.31487,England,-53.05434004,-10.80677364,81.88563962,11673.43459377283,73.16806691
2000,America,Brazil,Grimsby & Immingham,53.61148000000001,-0.22403,England,-53.05434004,-10.80677364,1160.387916,11673.43459377283,0.0
2000,America,Brazil,Harwich,51.94716,1.25422,England,-53.05434004,-10.80677364,42.893,11673.43459377283,0.0
2000,America,Brazil,Hull,53.74154,-0.30295,England,-53.05434004,-10.80677364,95.66756851099998,11673.43459377283,16.48193602
2000,America,Brazil,Liverpool,53.46171999999999,-3.02275,England,-53.05434004,-10.80677364,556.20486996,11673.43459377283,1.613131606
2000,America,Brazil,London,51.5166,0.1166,England,-53.05434004,-10.80677364,365.22097493,11673.43459377283,126.92544982999999
2000,America,Brazil,Medway,51.380951,0.52213,England,-53.05434004,-10.80677364,323.074747496,11673.43459377283,0.0
2000,America,Brazil,Port Talbot,51.594681,-3.784097,Wales,-53.05434004,-10.80677364,769.4603021,11673.43459377283,0.0
2000,America,Brazil,Southampton,50.90834,-1.45426,England,-53.05434004,-10.80677364,109.53852114399999,11673.43459377283,33.95713462
2000,America,Brazil,Swansea,51.621441,-3.943646,Wales,-53.05434004,-10.80677364,69.10613988,11673.43459377283,0.0
2000,America,Brazil,Tees & Hartlepool,54.691745999999995,-1.212926,England,-53.05434004,-10.80677364,290.86227955100003,11673.43459377283,135.48857248800002
2000,America,Brazil,Tyne,55.01643000000001,-1.41982,England,-53.05434004,-10.80677364,11.79498476,11673.43459377283,0.0
2000,America,Canada,Aberdeen,57.144690000000004,-2.08749,Scotland,-98.14238137,61.46907615,6.694660626,16101.919983209362,12.39710626
2000,America,Canada,Belfast,54.60548299999999,-5.889891,Northern Ireland,-98.14238137,61.46907615,10.780999999999999,16101.919983209362,0.0
2000,America,Canada,Bristol,51.44147,-2.55997,England,-98.14238137,61.46907615,249.82884484,16101.919983209362,0.0
2000,America,Canada,Clyde,51.483768,0.42074,Scotland,-98.14238137,61.46907615,99.095910672,16101.919983209362,0.0
2000,America,Canada,Felixstowe,51.94831,1.31487,England,-98.14238137,61.46907615,197.013986192,16101.919983209362,170.21614502699998
2000,America,Canada,Forth,55.765584999999994,-3.6882358,Scotland,-98.14238137,61.46907615,9.445242768,16101.919983209362,0.0
2000,America,Canada,Grimsby & Immingham,53.61148000000001,-0.22403,England,-98.14238137,61.46907615,1118.0201299999999,16101.919983209362,227.08560719000002
2000,America,Canada,Ipswich,52.0579495,1.1526345,England,-98.14238137,61.46907615,1.975632312,16101.919983209362,0.0
2000,America,Canada,Liverpool,53.46171999999999,-3.02275,England,-98.14238137,61.46907615,1339.78237919,16101.919983209362,464.18052387999995
2000,America,Canada,London,51.5166,0.1166,England,-98.14238137,61.46907615,491.99319553,16101.919983209362,10.14852984
2000,America,Canada,Medway,51.380951,0.52213,England,-98.14238137,61.46907615,560.226782585,16101.919983209362,417.84061860599996
2000,America,Canada,Newport,51.558370000000004,-2.98625,Wales,-98.14238137,61.46907615,8.928614291,16101.919983209362,0.0
2000,America,Canada,Port Talbot,51.594681,-3.784097,Wales,-98.14238137,61.46907615,3630.4783764999997,16101.919983209362,0.0
